Field1,Field2,Field3,Field4,Field5,Field6
0,-58.43447472,49.21156047,0.454720493,0.012359015,2022-05-20
0,-58.4370836,49.30148435,0.454720493,0.012359015,2022-05-20
0,-58.29956909,49.30311289,0.454720493,0.012359015,2022-05-20
0,-58.29720967,49.21318388,0.454720493,0.012359015,2022-05-20
0,-58.43447472,49.21156047,0.454720493,0.012359015,2022-05-20
1,-53.66595836,46.5626357,0.440831523,0.011731543,2019-09-19
1,-53.66043531,46.65247676,0.440831523,0.011731543,2019-09-19
1,-53.52998127,46.6485902,0.440831523,0.011731543,2019-09-19
1,-53.53571905,46.55876126,0.440831523,0.011731543,2019-09-19
1,-53.66595836,46.5626357,0.440831523,0.011731543,2019-09-19
2,-53.53571905,46.55876126,0.440788332,0.011729166,2019-09-19
2,-53.52998127,46.6485902,0.440788332,0.011729166,2019-09-19
2,-53.3995548,46.6445552,0.440788332,0.011729166,2019-09-19
2,-53.40550712,46.55473882,0.440788332,0.011729166,2019-09-19
2,-53.53571905,46.55876126,0.440788332,0.011729166,2019-09-19
3,-53.2753236,46.55056847,0.440697087,0.011724147,2019-09-19
3,-53.2691569,46.64037182,0.440697087,0.011724147,2019-09-19
3,-53.1387886,46.63604016,0.440697087,0.011724147,2019-09-19
3,-53.14516951,46.5462503,0.440697087,0.011724147,2019-09-19
3,-53.2753236,46.55056847,0.440697087,0.011724147,2019-09-19
4,-53.14516951,46.5462503,0.440649035,0.011721505,2019-09-19
4,-53.1387886,46.63604016,0.440649035,0.011721505,2019-09-19
4,-53.00845093,46.63156031,0.440649035,0.011721505,2019-09-19
4,-53.01504586,46.54178439,0.440649035,0.011721505,2019-09-19
4,-53.14516951,46.5462503,0.440649035,0.011721505,2019-09-19
5,-56.53530663,46.7002944,0.441802401,0.011780621,2020-09-06
5,-56.53453271,46.79028311,0.441802401,0.011780621,2020-09-06
5,-56.40351616,46.78967528,0.441802401,0.011780621,2020-09-06
5,-56.4045079,46.69968847,0.441802401,0.011780621,2020-09-06
5,-56.53530663,46.7002944,0.441802401,0.011780621,2020-09-06
6,-56.4045079,46.69968847,0.441794967,0.01178021,2020-09-06
6,-56.40351616,46.78967528,0.441794967,0.01178021,2020-09-06
6,-56.2725044,46.78891749,0.441794967,0.01178021,2020-09-06
6,-56.27371393,46.69893305,0.441794967,0.01178021,2020-09-06
6,-56.4045079,46.69968847,0.441794967,0.01178021,2020-09-06
7,-56.27371393,46.69893305,0.441785901,0.011779709,2020-09-06
7,-56.2725044,46.78891749,0.441785901,0.011779709,2020-09-06
7,-56.14149846,46.78800976,0.441785901,0.011779709,2020-09-06
7,-56.14292574,46.69802815,0.441785901,0.011779709,2020-09-06
7,-56.27371393,46.69893305,0.441785901,0.011779709,2020-09-06
8,-56.14292574,46.69802815,0.441775202,0.011779118,2020-09-06
8,-56.14149846,46.78800976,0.441775202,0.011779118,2020-09-06
8,-56.01049941,46.78695209,0.441775202,0.011779118,2020-09-06
8,-56.0121444,46.69697378,0.441775202,0.011779118,2020-09-06
8,-56.14292574,46.69802815,0.441775202,0.011779118,2020-09-06
9,-53.66043531,46.65247676,0.441262022,0.011750797,2019-09-19
9,-53.65488572,46.74231589,0.441262022,0.011750797,2019-09-19
9,-53.52421595,46.73841719,0.441262022,0.011750797,2019-09-19
9,-53.52998127,46.6485902,0.441262022,0.011750797,2019-09-19
9,-53.66043531,46.65247676,0.441262022,0.011750797,2019-09-19
10,-53.52998127,46.6485902,0.441218728,0.011748412,2019-09-19
10,-53.52421595,46.73841719,0.441218728,0.011748412,2019-09-19
10,-53.39357389,46.73436958,0.441218728,0.011748412,2019-09-19
10,-53.3995548,46.6445552,0.441218728,0.011748412,2019-09-19
10,-53.52998127,46.6485902,0.441218728,0.011748412,2019-09-19
11,-53.3995548,46.6445552,0.441173806,0.011745937,2019-09-19
11,-53.39357389,46.73436958,0.441173806,0.011745937,2019-09-19
11,-53.26296059,46.73017313,0.441173806,0.011745937,2019-09-19
11,-53.2691569,46.64037182,0.441173806,0.011745937,2019-09-19
11,-53.3995548,46.6445552,0.441173806,0.011745937,2019-09-19
12,-53.2691569,46.64037182,0.441127261,0.011743373,2019-09-19
12,-53.26296059,46.73017313,0.441127261,0.011743373,2019-09-19
12,-53.13237707,46.72582794,0.441127261,0.011743373,2019-09-19
12,-53.1387886,46.63604016,0.441127261,0.011743373,2019-09-19
12,-53.2691569,46.64037182,0.441127261,0.011743373,2019-09-19
13,-53.1387886,46.63604016,0.441079089,0.011740721,2019-09-19
13,-53.13237707,46.72582794,0.441079089,0.011740721,2019-09-19
13,-53.00182436,46.72133409,0.441079089,0.011740721,2019-09-19
13,-53.00845093,46.63156031,0.441079089,0.011740721,2019-09-19
13,-53.1387886,46.63604016,0.441079089,0.011740721,2019-09-19
14,-53.00845093,46.63156031,0.441029294,0.01173798,2019-09-19
14,-53.00182436,46.72133409,0.441029294,0.01173798,2019-09-19
14,-52.87130348,46.71669168,0.441029294,0.01173798,2019-09-19
14,-52.87814491,46.62693235,0.441029294,0.01173798,2019-09-19
14,-53.00845093,46.63156031,0.441029294,0.01173798,2019-09-19
15,-56.53453271,46.79028311,0.442236309,0.011800085,2020-09-06
15,-56.53375505,46.88027038,0.442236309,0.011800085,2020-09-06
15,-56.40251964,46.87966066,0.442236309,0.011800085,2020-09-06
15,-56.40351616,46.78967528,0.442236309,0.011800085,2020-09-06
15,-56.53453271,46.79028311,0.442236309,0.011800085,2020-09-06
16,-56.40351616,46.78967528,0.442228856,0.011799672,2020-09-06
16,-56.40251964,46.87966066,0.442228856,0.011799672,2020-09-06
16,-56.27128904,46.8789005,0.442228856,0.011799672,2020-09-06
16,-56.2725044,46.78891749,0.442228856,0.011799672,2020-09-06
16,-56.40351616,46.78967528,0.442228856,0.011799672,2020-09-06
17,-56.2725044,46.78891749,0.442219768,0.011799169,2020-09-06
17,-56.27128904,46.8789005,0.442219768,0.011799169,2020-09-06
17,-56.1400643,46.87798992,0.442219768,0.011799169,2020-09-06
17,-56.14149846,46.78800976,0.442219768,0.011799169,2020-09-06
17,-56.2725044,46.78891749,0.442219768,0.011799169,2020-09-06
18,-56.14149846,46.78800976,0.442209043,0.011798576,2020-09-06
18,-56.1400643,46.87798992,0.442209043,0.011798576,2020-09-06
18,-56.00884649,46.87692894,0.442209043,0.011798576,2020-09-06
18,-56.01049941,46.78695209,0.442209043,0.011798576,2020-09-06
18,-56.14149846,46.78800976,0.442209043,0.011798576,2020-09-06
19,-56.01049941,46.78695209,0.442196684,0.011797892,2020-09-06
19,-56.00884649,46.87692894,0.442196684,0.011797892,2020-09-06
19,-55.87763665,46.87571759,0.442196684,0.011797892,2020-09-06
19,-55.87950828,46.78574452,0.442196684,0.011797892,2020-09-06
19,-56.01049941,46.78695209,0.442196684,0.011797892,2020-09-06
20,-55.87950828,46.78574452,0.442182684,0.011797117,2020-09-06
20,-55.87763665,46.87571759,0.442182684,0.011797117,2020-09-06
20,-55.74643585,46.87435589,0.442182684,0.011797117,2020-09-06
20,-55.74852613,46.78438707,0.442182684,0.011797117,2020-09-06
20,-55.87950828,46.78574452,0.442182684,0.011797117,2020-09-06
21,-55.74852613,46.78438707,0.442167051,0.011796252,2020-09-06
21,-55.74643585,46.87435589,0.442167051,0.011796252,2020-09-06
21,-55.61524512,46.87284386,0.442167051,0.011796252,2020-09-06
21,-55.617554,46.78287976,0.442167051,0.011796252,2020-09-06
21,-55.74852613,46.78438707,0.442167051,0.011796252,2020-09-06
