Field1,Field2,Field3,Field4
0,-62.59394899,45.56531847,2023-05-23
0,-62.59394566,46.02171974,2023-05-23
0,-62.51542156,46.02169112,2023-05-23
0,-62.51550024,45.56528993,2023-05-23
0,-62.59394899,45.56531847,2023-05-23
1,-62.51550024,45.56528993,2023-05-23
1,-62.51542156,46.02169112,2023-05-23
1,-62.44089783,46.02160989,2023-05-23
1,-62.44105187,45.56520895,2023-05-23
1,-62.51550024,45.56528993,2023-05-23
2,-62.44105187,45.56520895,2023-05-23
2,-62.44089783,46.02160989,2023-05-23
2,-62.36237484,46.02147606,2023-05-23
2,-62.36260422,45.56507554,2023-05-23
2,-62.44105187,45.56520895,2023-05-23
3,-62.36260422,45.56507554,2023-05-23
3,-62.36237484,46.02147606,2023-05-23
3,-62.28385295,46.02128963,2023-05-23
3,-62.28415767,45.56488969,2023-05-23
3,-62.36260422,45.56507554,2023-05-23
4,-62.28415767,45.56488969,2023-05-23
4,-62.28385295,46.02128963,2023-05-23
4,-62.2053325,46.0210506,2023-05-23
4,-62.20571256,45.56465141,2023-05-23
4,-62.28415767,45.56488969,2023-05-23
5,-63.15099355,46.02161918,2023-05-23
5,-63.15114163,46.07401963,2023-05-23
5,-63.07254215,46.07409646,2023-05-23
5,-63.07246978,46.02169577,2023-05-23
5,-63.15099355,46.02161918,2023-05-23
6,-63.07246978,46.02169577,2023-05-23
6,-63.07254215,46.07409646,2023-05-23
6,-62.59394232,46.07412051,2023-05-23
6,-62.59394566,46.02171974,2023-05-23
6,-63.07246978,46.02169577,2023-05-23
7,-62.59394566,46.02171974,2023-05-23
7,-62.59394232,46.07412051,2023-05-23
7,-62.5153425,46.0740918,2023-05-23
7,-62.51542156,46.02169112,2023-05-23
7,-62.59394566,46.02171974,2023-05-23
8,-62.51542156,46.02169112,2023-05-23
8,-62.5153425,46.0740918,2023-05-23
8,-62.44074306,46.07401031,2023-05-23
8,-62.44089783,46.02160989,2023-05-23
8,-62.51542156,46.02169112,2023-05-23
9,-62.44089783,46.02160989,2023-05-23
9,-62.44074306,46.07401031,2023-05-23
9,-62.36214436,46.07387606,2023-05-23
9,-62.36237484,46.02147606,2023-05-23
9,-62.44089783,46.02160989,2023-05-23
10,-62.36237484,46.02147606,2023-05-23
10,-62.36214436,46.07387606,2023-05-23
10,-62.28354677,46.07368905,2023-05-23
10,-62.28385295,46.02128963,2023-05-23
10,-62.36237484,46.02147606,2023-05-23
11,-62.28385295,46.02128963,2023-05-23
11,-62.28354677,46.07368905,2023-05-23
11,-62.20495063,46.07344927,2023-05-23
11,-62.2053325,46.0210506,2023-05-23
11,-62.28385295,46.02128963,2023-05-23
12,-63.3829344,46.07347257,2023-05-23
12,-63.38331138,46.1258708,2023-05-23
12,-63.30463904,46.13010665,2023-05-23
12,-63.30433812,46.07370769,2023-05-23
12,-63.3829344,46.07347257,2023-05-23
13,-63.30433812,46.07370769,2023-05-23
13,-63.30463904,46.13010665,2023-05-23
13,-63.22596527,46.13028958,2023-05-23
13,-63.22574041,46.07389004,2023-05-23
